search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Carlos Dante,"Testori, Carlos Dante", ,Singer and composer,(12 March 1906 - 28 April 1985),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/176/Carlos-Dante/
Carlos Galan,, ,Singer,(n/d - n/d),Place of birth: , 
Carlos Galan ,, ,Singer,(n/d - n/d),Place of birth: , 
Carlos Galarce,, ,Singer,(n/d - ),Place of birth: , 
Carlos Gardel,, , , , , 
Carlos Heredia,"Balverdi, Antonio", ,Singer,(10 May 1920 - n/d),Place of birth: Santiago Temple (Córdoba) Argentina,https://www.todotango.com/english/artists/biography/1226/Carlos-Heredia/
Carlos Lafuente,"Fredes, Hugo Washington", ,"Singer, composer and lyricist",(28 February 1908 - 27 July 1989),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/985/Carlos-Lafuente/
Carlos Mayel,"Anastasio, José Luis", ,Singer and composer,(19 November 1913 - 2 January 1984),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1493/Carlos-Mayel/
Carlos Montalvo,"Yáñez, Luis", ,Singer,(9 June 1928 - ),Place of birth: Buenos Aires Argentina, 
Carlos Morel,"González, Carlos Daniel", ,Singer,(7 January 1958 - ),Place of birth: Avellaneda (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/692/Carlos-Morel/
Carlos Olmedo,"Velázquez Childe, Delmar", ,Singer and composer,(26 October 1921 - 12 March 1976),Place of birth: Tranqueras (Rivera) Uruguay,https://www.todotango.com/english/artists/biography/996/Carlos-Olmedo/
Carlos Ortega,"Font, Manuel Martín", ,Lyricist and singer,(n/d - n/d),Place of birth: , 
Carlos Roldan,"Porcal, Carlos Belarmino", ,Singer,(31 December 1913 - 16 June 1973),Place of birth: Montevideo Uruguay,https://www.todotango.com/english/artists/biography/164/Carlos-Roldan/
Carlos Rossi,"Rossi, Carlos Alberto", ,Singer and lyricist,(1 March 1943 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1019/Carlos-Rossi/
Carlos Saavedra,"Gardella, Carlos Mateo", ,Singer,(2 October 1920 - 12 November 1972),Place of birth: Bragado (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1458/Carlos-Saavedra/
Carlos Solari,"García, Carlos", ,Singer,(20 October 1932 - ),Place of birth: Tacuarembó Uruguay,https://www.todotango.com/english/artists/biography/1603/Carlos-Solari/
Carlos Varela,"Varela, Carlos Alberto", ,Singer,(16 July 1909 - 21 December 1996),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1048/Carlos-Varela/
Carlos Vidal,"Vidal, Luis", ,Singer,(3 August 1926 - 18 January 1981),Place of birth: Avellaneda (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/833/Carlos-Vidal/
Carlos Vidal ,"Vidal, Luis", ,Singer,(3 August 1926 - 18 January 1981),Place of birth: Avellaneda (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/833/Carlos-Vidal/
