Date,Orquestra,Title,Singer,Style,Composer,Author
1953-07-01,Dir. Jorge Dragone,Todos queremos mas,Alberto CASTILLO,VALS, , 
1953-07-01,Dir. Jorge Dragone,Yo (2),Alberto CASTILLO,CANCION RANCHERA, , 
1953-10-28,Dir. Jorge Dragone,Pato,Alberto CASTILLO,TANGO,Ramón Collazo,Ramón Collazo
1953-10-28,Dir. Jorge Dragone,Que nadie sepa mi sufrir,Alberto CASTILLO,VALS,Ángel Cabral,Enrique Dizeo
1953-10-28,Dir. Jorge Dragone,Siga el baile,Alberto CASTILLO,CANDOMBE, , 
1954-07-19,Dir. Jorge Dragone,En Buenos Aires,Alberto CASTILLO,MARCHA, , 
1954-07-30,Dir. Jorge Dragone,La pulguita,Alberto CASTILLO,CANDOMBE, , 
1954-08-10,Dir. Jorge Dragone,Vaya con dios,Alberto CASTILLO,VALS, , 
1954-10-05,Dir. Jorge Dragone,Chorra,Alberto CASTILLO,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo
1954-10-05,Dir. Jorge Dragone,Gacho gris,Alberto CASTILLO,TANGO,Alejandro Sarni,Juan Carlos Barthe
1955-07-06,Dir. Jorge Dragone,La cumparsita (Si supieras),Alberto CASTILLO,TANGO,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni
1955-11-18,Dir. Jorge Dragone,Mi noche triste,Alberto CASTILLO,TANGO,Samuel Castriota,Pascual Contursi
1955-11-29,Dir. Jorge Dragone,Cuándo volverás,Alberto CASTILLO,TANGO,Pedro Maffia,José Horacio Staffolani
1955-11-29,Dir. Jorge Dragone,La copa del olvido,Alberto CASTILLO,TANGO,Enrique Delfino,Alberto Vacarezza
1955-11-29,Dir. Jorge Dragone,Yira yira,Alberto CASTILLO,TANGO,Enrique Santos Discepolo,Enrique Santos Discepolo
1956-01-31,Dir. Jorge Dragone,Año nuevo,Alberto CASTILLO,MARCHA, , 
1956-11-06,Dir. Jorge Dragone,Engañada,Alberto CASTILLO,VALS, , 
1956-11-23,Dir. Jorge Dragone,Soltero o casado,Alberto CASTILLO,MARCHA, , 
1957-01-01,Dir. Jorge Dragone,El gatito en el tejado,Alberto CASTILLO,CANDOMBE, , 
1957-04-05,Dir. Jorge Dragone,Candombeando,Alberto CASTILLO,MILONGA, , 
